,AI_2020_OVERHEAD_C5'S_MOL,FIC_2100_PV_FEED_FURNACE_FUEL_SCFH,FIC-2101_PV_TOP_PRODUCT_MBBL/D,FIC_2102_PV_BOTTOM_PRODUCT_MBBL/D,FI-2005_PV_FEED_FLOW_MBBL/D,FIC_2001_PV_TOP_REFLUX_SETPOINT_MBBL/D,FIC_2002_PVMIDDLE_PRODUCT_DRAW_MBBL/D,FIC_2004_PV_TOP_REFLUX_MBBL/D,QI_2106_PV_MIDDLE_REFLUX_DUTY_BTU/H
AI_2020_OVERHEAD_C5'S_MOL,1.0,0.40721471977003776,0.7584329485878132,-0.2400619536860562,0.5170810183400301,-0.4470338334044399,-0.15141995973640301,-0.46497078647961615,-0.5384638438354125
FIC_2100_PV_FEED_FURNACE_FUEL_SCFH,0.40721471977003776,1.0,0.7858283875441237,-0.020147615771701512,0.7394742513326594,0.024864542363374695,0.019936644131201792,0.4469176631642149,0.22163569308141484
FIC-2101_PV_TOP_PRODUCT_MBBL/D,0.7584329485878132,0.7858283875441237,1.0,-0.22567766943406,0.6201042111295417,-0.41240146105146896,-0.035505523928599236,0.03368873551690838,-0.20923227473835085
FIC_2102_PV_BOTTOM_PRODUCT_MBBL/D,-0.2400619536860562,-0.020147615771701512,-0.22567766943406,1.0,0.387124227427899,0.06235270537508929,-0.301092568046168,0.3098610463426368,0.337658526439846
FI-2005_PV_FEED_FLOW_MBBL/D,0.5170810183400301,0.7394742513326594,0.6201042111295417,0.387124227427899,1.0,-0.021180578886824532,-0.0362609938458709,0.2749296525085898,0.15272771769169807
FIC_2001_PV_TOP_REFLUX_SETPOINT_MBBL/D,-0.4470338334044399,0.024864542363374695,-0.41240146105146896,0.06235270537508929,-0.021180578886824532,1.0,0.26043166004151447,0.16533999977163202,0.27892240415949054
FIC_2002_PVMIDDLE_PRODUCT_DRAW_MBBL/D,-0.15141995973640301,0.019936644131201792,-0.035505523928599236,-0.301092568046168,-0.0362609938458709,0.26043166004151447,1.0,0.14316965079312377,0.21763785519803136
FIC_2004_PV_TOP_REFLUX_MBBL/D,-0.46497078647961615,0.4469176631642149,0.03368873551690838,0.3098610463426368,0.2749296525085898,0.16533999977163202,0.14316965079312377,1.0,0.8683740600827322
QI_2106_PV_MIDDLE_REFLUX_DUTY_BTU/H,-0.5384638438354125,0.22163569308141484,-0.20923227473835085,0.337658526439846,0.15272771769169807,0.27892240415949054,0.21763785519803136,0.8683740600827322,1.0
